label,text,text_length,preprocessed_text,is_spam,u_count,call_count,2_count,get_count,ur_count,go_count,&lt;#&gt;_count,4_count,got_count,like_count,know_count,come_count,free_count,good_count,?_count,want_count,._count,send_count,..._count,time_count
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,"['go', 'jurong', 'point,', 'crazy..', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet...', 'cine', 'got', 'amore', 'wat...']",False,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ham,Ok lar... Joking wif u oni...,29,"['ok', 'lar...', 'joking', 'wif', 'u', 'oni...']",False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,"['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005.', 'text', 'fa', '87121', 'receive', 'entry', 'question(std', 'txt', ""rate)t&c's"", 'apply', ""08452810075over18's""]",True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ham,U dun say so early hor... U c already then say...,49,"['u', 'dun', 'say', 'early', 'hor...', 'u', 'c', 'already', 'say...']",False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ham,"Nah I don't think he goes to usf, he lives around here though",61,"['nah', 'think', 'goes', 'usf,', 'lives', 'around', 'though']",False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",147,"['freemsg', 'hey', 'darling', '3', ""week's"", 'word', 'back!', 'like', 'fun', 'still?', 'tb', 'ok!', 'xxx', 'std', 'chgs', 'send,', '£1.50', 'rcv']",True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,"['even', 'brother', 'like', 'speak', 'me.', 'treat', 'like', 'aids', 'patent.']",False,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,"['per', 'request', ""'melle"", 'melle', '(oru', 'minnaminunginte', 'nurungu', ""vettam)'"", 'set', 'callertune', 'callers.', 'press', '*9', 'copy', 'friends', 'callertune']",False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,157,"['winner!!', 'valued', 'network', 'customer', 'selected', 'receivea', '£900', 'prize', 'reward!', 'claim', 'call', '09061701461.', 'claim', 'code', 'kl341.', 'valid', '12', 'hours', 'only.']",True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,"['mobile', '11', 'months', 'more?', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free!', 'call', 'mobile', 'update', 'co', 'free', '08002986030']",True,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
